field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A	ASL0			"Input value A"	SPC_DBADDR		2			"void *a"	
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B	ASL0			"Input value B"	SPC_DBADDR		2			"void *b"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BRSV			GUI_SUB	"Bad Return Severity"		TRUE	1				menuAlarmSevr
C	ASL0			"Input value C"	SPC_DBADDR		2			"void *c"	
D	ASL0			"Input value D"	SPC_DBADDR		2			"void *d"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E	ASL0			"Input value E"	SPC_DBADDR		2			"void *e"	
EFLG		"1"	GUI_OUTPUT	"Output Event Flag"			1				aSubEFLG
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F	ASL0			"Input value F"	SPC_DBADDR		2			"void *f"	
FLNK			GUI_LINKS	"Forward Process Link"			1				
FTA		"DOUBLE"	GUI_WAVE	"Type of A"	SPC_NOMOD		1				menuFtype
FTB		"DOUBLE"	GUI_WAVE	"Type of B"	SPC_NOMOD		1				menuFtype
FTC		"DOUBLE"	GUI_WAVE	"Type of C"	SPC_NOMOD		1				menuFtype
FTD		"DOUBLE"	GUI_WAVE	"Type of D"	SPC_NOMOD		1				menuFtype
FTE		"DOUBLE"	GUI_WAVE	"Type of E"	SPC_NOMOD		1				menuFtype
FTF		"DOUBLE"	GUI_WAVE	"Type of F"	SPC_NOMOD		1				menuFtype
FTG		"DOUBLE"	GUI_WAVE	"Type of G"	SPC_NOMOD		1				menuFtype
FTH		"DOUBLE"	GUI_WAVE	"Type of H"	SPC_NOMOD		1				menuFtype
FTI		"DOUBLE"	GUI_WAVE	"Type of I"	SPC_NOMOD		1				menuFtype
FTJ		"DOUBLE"	GUI_WAVE	"Type of J"	SPC_NOMOD		1				menuFtype
FTK		"DOUBLE"	GUI_WAVE	"Type of K"	SPC_NOMOD		1				menuFtype
FTL		"DOUBLE"	GUI_WAVE	"Type of L"	SPC_NOMOD		1				menuFtype
FTM		"DOUBLE"	GUI_WAVE	"Type of M"	SPC_NOMOD		1				menuFtype
FTN		"DOUBLE"	GUI_WAVE	"Type of N"	SPC_NOMOD		1				menuFtype
FTO		"DOUBLE"	GUI_WAVE	"Type of O"	SPC_NOMOD		1				menuFtype
FTP		"DOUBLE"	GUI_WAVE	"Type of P"	SPC_NOMOD		1				menuFtype
FTQ		"DOUBLE"	GUI_WAVE	"Type of Q"	SPC_NOMOD		1				menuFtype
FTR		"DOUBLE"	GUI_WAVE	"Type of R"	SPC_NOMOD		1				menuFtype
FTS		"DOUBLE"	GUI_WAVE	"Type of S"	SPC_NOMOD		1				menuFtype
FTT		"DOUBLE"	GUI_WAVE	"Type of T"	SPC_NOMOD		1				menuFtype
FTU		"DOUBLE"	GUI_WAVE	"Type of U"	SPC_NOMOD		1				menuFtype
FTVA		"DOUBLE"	GUI_WAVE	"Type of VALA"	SPC_NOMOD		1				menuFtype
FTVB		"DOUBLE"	GUI_WAVE	"Type of VALB"	SPC_NOMOD		1				menuFtype
FTVC		"DOUBLE"	GUI_WAVE	"Type of VALC"	SPC_NOMOD		1				menuFtype
FTVD		"DOUBLE"	GUI_WAVE	"Type of VALD"	SPC_NOMOD		1				menuFtype
FTVE		"DOUBLE"	GUI_WAVE	"Type of VALE"	SPC_NOMOD		1				menuFtype
FTVF		"DOUBLE"	GUI_WAVE	"Type of VALF"	SPC_NOMOD		1				menuFtype
FTVG		"DOUBLE"	GUI_WAVE	"Type of VALG"	SPC_NOMOD		1				menuFtype
FTVH		"DOUBLE"	GUI_WAVE	"Type of VALH"	SPC_NOMOD		1				menuFtype
FTVI		"DOUBLE"	GUI_WAVE	"Type of VALI"	SPC_NOMOD		1				menuFtype
FTVJ		"DOUBLE"	GUI_WAVE	"Type of VALJ"	SPC_NOMOD		1				menuFtype
FTVK		"DOUBLE"	GUI_WAVE	"Type of VALK"	SPC_NOMOD		1				menuFtype
FTVL		"DOUBLE"	GUI_WAVE	"Type of VALL"	SPC_NOMOD		1				menuFtype
FTVM		"DOUBLE"	GUI_WAVE	"Type of VALM"	SPC_NOMOD		1				menuFtype
FTVN		"DOUBLE"	GUI_WAVE	"Type of VALN"	SPC_NOMOD		1				menuFtype
FTVO		"DOUBLE"	GUI_WAVE	"Type of VALO"	SPC_NOMOD		1				menuFtype
FTVP		"DOUBLE"	GUI_WAVE	"Type of VALP"	SPC_NOMOD		1				menuFtype
FTVQ		"DOUBLE"	GUI_WAVE	"Type of VALQ"	SPC_NOMOD		1				menuFtype
FTVR		"DOUBLE"	GUI_WAVE	"Type of VALR"	SPC_NOMOD		1				menuFtype
FTVS		"DOUBLE"	GUI_WAVE	"Type of VALS"	SPC_NOMOD		1				menuFtype
FTVT		"DOUBLE"	GUI_WAVE	"Type of VALT"	SPC_NOMOD		1				menuFtype
FTVU		"DOUBLE"	GUI_WAVE	"Type of VALU"	SPC_NOMOD		1				menuFtype
G	ASL0			"Input value G"	SPC_DBADDR		2			"void *g"	
H	ASL0			"Input value H"	SPC_DBADDR		2			"void *h"	
I	ASL0			"Input value I"	SPC_DBADDR		2			"void *i"	
INAM			GUI_SUB	"Initialize Subr. Name"	SPC_NOMOD		1		41		
INPA			GUI_INPUTS	"Input Link A"			1				
INPB			GUI_INPUTS	"Input Link B"			1				
INPC			GUI_INPUTS	"Input Link C"			1				
INPD			GUI_INPUTS	"Input Link D"			1				
INPE			GUI_INPUTS	"Input Link E"			1				
INPF			GUI_INPUTS	"Input Link F"			1				
INPG			GUI_INPUTS	"Input Link G"			1				
INPH			GUI_INPUTS	"Input Link H"			1				
INPI			GUI_INPUTS	"Input Link I"			1				
INPJ			GUI_INPUTS	"Input Link J"			1				
INPK			GUI_INPUTS	"Input Link K"			1				
INPL			GUI_INPUTS	"Input Link L"			1				
INPM			GUI_INPUTS	"Input Link M"			1				
INPN			GUI_INPUTS	"Input Link N"			1				
INPO			GUI_INPUTS	"Input Link O"			1				
INPP			GUI_INPUTS	"Input Link P"			1				
INPQ			GUI_INPUTS	"Input Link Q"			1				
INPR			GUI_INPUTS	"Input Link R"			1				
INPS			GUI_INPUTS	"Input Link S"			1				
INPT			GUI_INPUTS	"Input Link T"			1				
INPU			GUI_INPUTS	"Input Link U"			1				
J	ASL0			"Input value J"	SPC_DBADDR		2			"void *j"	
K	ASL0			"Input value K"	SPC_DBADDR		2			"void *k"	
L	ASL0			"Input value L"	SPC_DBADDR		2			"void *l"	
LCNT				"Lock Count"	SPC_NOMOD		2				
LFLG			GUI_SUB	"Subr. Input Enable"			1				aSubLFLG
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
M	ASL0			"Input value M"	SPC_DBADDR		2			"void *m"	
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
N	ASL0			"Input value N"	SPC_DBADDR		2			"void *n"	
NAME				"Record Name"	SPC_NOMOD				61		
NEA		"1"	GUI_WAVE	"Num. elements in A"	SPC_NOMOD		3				
NEB		"1"	GUI_WAVE	"Num. elements in B"	SPC_NOMOD		3				
NEC		"1"	GUI_WAVE	"Num. elements in C"	SPC_NOMOD		3				
NED		"1"	GUI_WAVE	"Num. elements in D"	SPC_NOMOD		3				
NEE		"1"	GUI_WAVE	"Num. elements in E"	SPC_NOMOD		3				
NEF		"1"	GUI_WAVE	"Num. elements in F"	SPC_NOMOD		3				
NEG		"1"	GUI_WAVE	"Num. elements in G"	SPC_NOMOD		3				
NEH		"1"	GUI_WAVE	"Num. elements in H"	SPC_NOMOD		3				
NEI		"1"	GUI_WAVE	"Num. elements in I"	SPC_NOMOD		3				
NEJ		"1"	GUI_WAVE	"Num. elements in J"	SPC_NOMOD		3				
NEK		"1"	GUI_WAVE	"Num. elements in K"	SPC_NOMOD		3				
NEL		"1"	GUI_WAVE	"Num. elements in L"	SPC_NOMOD		3				
NEM		"1"	GUI_WAVE	"Num. elements in M"	SPC_NOMOD		3				
NEN		"1"	GUI_WAVE	"Num. elements in N"	SPC_NOMOD		3				
NEO		"1"	GUI_WAVE	"Num. elements in O"	SPC_NOMOD		3				
NEP		"1"	GUI_WAVE	"Num. elements in P"	SPC_NOMOD		3				
NEQ		"1"	GUI_WAVE	"Num. elements in Q"	SPC_NOMOD		3				
NER		"1"	GUI_WAVE	"Num. elements in R"	SPC_NOMOD		3				
NES		"1"	GUI_WAVE	"Num. elements in S"	SPC_NOMOD		3				
NET		"1"	GUI_WAVE	"Num. elements in T"	SPC_NOMOD		3				
NEU		"1"	GUI_WAVE	"Num. elements in U"	SPC_NOMOD		3				
NEVA		"1"		"Num. elements in VALA"	SPC_NOMOD		3				
NEVB		"1"		"Num. elements in VALB"	SPC_NOMOD		3				
NEVC		"1"		"Num. elements in VALC"	SPC_NOMOD		3				
NEVD		"1"		"Num. elements in VALD"	SPC_NOMOD		3				
NEVE		"1"		"Num. elements in VALE"	SPC_NOMOD		3				
NEVF		"1"		"Num. elements in VALF"	SPC_NOMOD		3				
NEVG		"1"		"Num. elements in VALG"	SPC_NOMOD		3				
NEVH		"1"		"Num. elements in VAlH"	SPC_NOMOD		3				
NEVI		"1"		"Num. elements in VALI"	SPC_NOMOD		3				
NEVJ		"1"		"Num. elements in VALJ"	SPC_NOMOD		3				
NEVK		"1"		"Num. elements in VALK"	SPC_NOMOD		3				
NEVL		"1"		"Num. elements in VALL"	SPC_NOMOD		3				
NEVM		"1"		"Num. elements in VALM"	SPC_NOMOD		3				
NEVN		"1"		"Num. elements in VALN"	SPC_NOMOD		3				
NEVO		"1"		"Num. elements in VALO"	SPC_NOMOD		3				
NEVP		"1"		"Num. elements in VALP"	SPC_NOMOD		3				
NEVQ		"1"		"Num. elements in VALQ"	SPC_NOMOD		3				
NEVR		"1"		"Num. elements in VALR"	SPC_NOMOD		3				
NEVS		"1"		"Num. elements in VALS"	SPC_NOMOD		3				
NEVT		"1"		"Num. elements in VALT"	SPC_NOMOD		3				
NEVU		"1"		"Num. elements in VALU"	SPC_NOMOD		3				
NOA		"1"	GUI_WAVE	"Max. elements in A"	SPC_NOMOD		1				
NOB		"1"	GUI_WAVE	"Max. elements in B"	SPC_NOMOD		1				
NOC		"1"	GUI_WAVE	"Max. elements in C"	SPC_NOMOD		1				
NOD		"1"	GUI_WAVE	"Max. elements in D"	SPC_NOMOD		1				
NOE		"1"	GUI_WAVE	"Max. elements in E"	SPC_NOMOD		1				
NOF		"1"	GUI_WAVE	"Max. elements in F"	SPC_NOMOD		1				
NOG		"1"	GUI_WAVE	"Max. elements in G"	SPC_NOMOD		1				
