field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A				"Value of Input A"		TRUE					
AA	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *aa"	
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_DISPLAY	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
AVAL	ASL0			"Array Value"	SPC_DBADDR	TRUE				"double *aval"	
B				"Value of Input B"		TRUE					
BB	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *bb"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C				"Value of Input C"		TRUE					
CALC			GUI_CALC	"Calculation"	SPC_MOD	TRUE			40		
CC	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *cc"	
CLCV				"CALC Valid"			1				
D				"Value of Input D"		TRUE					
DD	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *dd"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DLYA	ASL0			"Output Delay Active"	SPC_NOMOD						
DOPT			GUI_CALC	"Output Data Opt"			1				acalcoutDOPT
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E				"Value of Input E"		TRUE					
EE	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *ee"	
EGU			GUI_DISPLAY	"Units Name"			1		16		
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F				"Value of Input F"		TRUE					
FF	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *ff"	
FLNK			GUI_LINKS	"Forward Process Link"			1				
G				"Value of Input G"		TRUE					
GG	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *gg"	
H				"Value of Input H"		TRUE					
HH	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *hh"	
HHSV			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
HIHI			GUI_ALARMS	"Hihi Alarm Limit"		TRUE	1				
HOPR			GUI_DISPLAY	"High Operating Rng"			1				
HSV			GUI_ALARMS	"High Severity"		TRUE	1				menuAlarmSevr
HYST			GUI_ALARMS	"Alarm Deadband"			1				
I				"Value of Input I"		TRUE					
IAAV		"1"		"INAA PV Status"	SPC_NOMOD		1				acalcoutINAV
IBBV		"1"		"INBB PV Status"	SPC_NOMOD		1				acalcoutINAV
ICCV		"1"		"INCC PV Status"	SPC_NOMOD		1				acalcoutINAV
IDDV		"1"		"INDD PV Status"	SPC_NOMOD		1				acalcoutINAV
IEEV		"1"		"INEE PV Status"	SPC_NOMOD		1				acalcoutINAV
IFFV		"1"		"INFF PV Status"	SPC_NOMOD		1				acalcoutINAV
IGGV		"1"		"INGG PV Status"	SPC_NOMOD		1				acalcoutINAV
IHHV		"1"		"INHH PV Status"	SPC_NOMOD		1				acalcoutINAV
II	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *ii"	
IIIV		"1"		"INII PV Status"	SPC_NOMOD		1				acalcoutINAV
IJJV		"1"		"INJJ PV Status"	SPC_NOMOD		1				acalcoutINAV
IKKV		"1"		"INKK PV Status"	SPC_NOMOD		1				acalcoutINAV
ILLV		"1"		"INLL PV Status"	SPC_NOMOD		1				acalcoutINAV
INAA			GUI_CALC	"Array input AA"	SPC_MOD		1				
INAV		"1"		"INPA PV Status"	SPC_NOMOD		1				acalcoutINAV
INBB			GUI_CALC	"Array input BB"	SPC_MOD		1				
INBV		"1"		"INPB PV Status"	SPC_NOMOD		1				acalcoutINAV
INCC			GUI_CALC	"Array input CC"	SPC_MOD		1				
INCV		"1"		"INPC PV Status"	SPC_NOMOD		1				acalcoutINAV
INDD			GUI_CALC	"Array input DD"	SPC_MOD		1				
INDV		"1"		"INPD PV Status"	SPC_NOMOD		1				acalcoutINAV
INEE			GUI_CALC	"Array input EE"	SPC_MOD		1				
INEV		"1"		"INPE PV Status"	SPC_NOMOD		1				acalcoutINAV
INFF			GUI_CALC	"Array input FF"	SPC_MOD		1				
INFV		"1"		"INPF PV Status"	SPC_NOMOD		1				acalcoutINAV
INGG			GUI_CALC	"Array input GG"	SPC_MOD		1				
INGV		"1"		"INPG PV Status"	SPC_NOMOD		1				acalcoutINAV
INHH			GUI_CALC	"Array input HH"	SPC_MOD		1				
INHV		"1"		"INPH PV Status"	SPC_NOMOD		1				acalcoutINAV
INII			GUI_CALC	"Array input II"	SPC_MOD		1				
INIV		"1"		"INPI PV Status"	SPC_NOMOD		1				acalcoutINAV
INJJ			GUI_CALC	"Array input JJ"	SPC_MOD		1				
INJV		"1"		"INPJ PV Status"	SPC_NOMOD		1				acalcoutINAV
INKK			GUI_CALC	"Array input KK"	SPC_MOD		1				
INKV		"1"		"INPK PV Status"	SPC_NOMOD		1				acalcoutINAV
INLL			GUI_CALC	"Array input LL"	SPC_MOD		1				
INLV		"1"		"INPL PV Status"	SPC_NOMOD		1				acalcoutINAV
INPA			GUI_CALC	"Input A"	SPC_MOD		1				
INPB			GUI_CALC	"Input B"	SPC_MOD		1				
INPC			GUI_CALC	"Input C"	SPC_MOD		1				
INPD			GUI_CALC	"Input D"	SPC_MOD		1				
INPE			GUI_CALC	"Input E"	SPC_MOD		1				
INPF			GUI_CALC	"Input F"	SPC_MOD		1				
INPG			GUI_CALC	"Input G"	SPC_MOD		1				
INPH			GUI_CALC	"Input H"	SPC_MOD		1				
INPI			GUI_CALC	"Input I"	SPC_MOD		1				
