field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_DISPLAY	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
AOFF			GUI_CONVERT	"Adjustment Offset"		TRUE	1				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASLO			GUI_CONVERT	"Adjustment Slope"		TRUE	1				
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DOL			GUI_OUTPUT	"Desired Output Loc"			1				
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DRVH			GUI_OUTPUT	"Drive High Limit"		TRUE	1				
DRVL			GUI_OUTPUT	"Drive Low Limit"		TRUE	1				
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
EGU			GUI_DISPLAY	"Engineering Units"			1		16		
EGUF			GUI_CONVERT	"Eng Units Full"	SPC_LINCONV	TRUE	1				
EGUL			GUI_CONVERT	"Eng Units Low"	SPC_LINCONV	TRUE	1				
EOFF			GUI_CONVERT	"EGU to Raw Offset"		TRUE	2				
ESLO		"1"	GUI_CONVERT	"EGU to Raw Slope"		TRUE	2				
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
HHSV			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
