field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ACMD			GUI_OUTPUT	"Addressed command"		TRUE	2				gpibACMD
ADDR		"0"	GUI_INPUTS	"asyn address"	SPC_MOD		1				
AINP				"Input (response) string"	SPC_NOMOD		1		40		
AOUT			GUI_OUTPUT	"Output (command) string"		TRUE	1		40		
AQR				"Abort queueRequest"	SPC_MOD		4				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
AUCT			GUI_INPUTS	"Autoconnect"	SPC_MOD		1				asynAUTOCONNECT
BAUD			GUI_INPUTS	"Baud rate"	SPC_MOD		2				serialBAUD
BINP	ASL0			"Input binary data"	SPC_DBADDR						
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BOUT				"Output binary data"	SPC_DBADDR	TRUE	1				
CNCT			GUI_INPUTS	"Connect/Disconnect"	SPC_MOD		1				asynCONNECT
DBIT			GUI_INPUTS	"Data bits"	SPC_MOD		2				serialDBIT
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DRVINFO		""	GUI_INPUTS	"Driver info string"	SPC_MOD		2		40		
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
ENBL			GUI_INPUTS	"Enable/Disable"	SPC_MOD		1				asynENABLE
EOMR				"EOM reason"	SPC_NOMOD		1				asynEOMREASON
ERRS				"Error string"	SPC_DBADDR		4			"char *errs"	
