field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A				"Value of Input A"		TRUE					
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_DISPLAY	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B				"Value of Input B"		TRUE					
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C				"Value of Input C"		TRUE					
CALC		"0"	GUI_CALC	"Calculation"	SPC_CALC	TRUE			80		
CLCV				"CALC Valid"			1				
D				"Value of Input D"		TRUE					
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DLYA	ASL0			"Output Delay Active"	SPC_NOMOD						
DOPT			GUI_CALC	"Output Data Opt"			1				calcoutDOPT
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E				"Value of Input E"		TRUE					
EGU			GUI_DISPLAY	"Units Name"			1		16		
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F				"Value of Input F"		TRUE					
FLNK			GUI_LINKS	"Forward Process Link"			1				
G				"Value of Input G"		TRUE					
H				"Value of Input H"		TRUE					
HHSV			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
HIHI			GUI_ALARMS	"Hihi Alarm Limit"		TRUE	1				
HOPR			GUI_DISPLAY	"High Operating Rng"			1				
HSV			GUI_ALARMS	"High Severity"		TRUE	1				menuAlarmSevr
HYST			GUI_ALARMS	"Alarm Deadband"			1				
I				"Value of Input I"		TRUE					
INAV		"1"		"INPA PV Status"	SPC_NOMOD		1				calcoutINAV
INBV		"1"		"INPB PV Status"	SPC_NOMOD		1				calcoutINAV
INCV		"1"		"INPC PV Status"	SPC_NOMOD		1				calcoutINAV
INDV		"1"		"INPD PV Status"	SPC_NOMOD		1				calcoutINAV
INEV		"1"		"INPE PV Status"	SPC_NOMOD		1				calcoutINAV
INFV		"1"		"INPF PV Status"	SPC_NOMOD		1				calcoutINAV
INGV		"1"		"INPG PV Status"	SPC_NOMOD		1				calcoutINAV
INHV		"1"		"INPH PV Status"	SPC_NOMOD		1				calcoutINAV
INIV		"1"		"INPI PV Status"	SPC_NOMOD		1				calcoutINAV
INJV		"1"		"INPJ PV Status"	SPC_NOMOD		1				calcoutINAV
INKV		"1"		"INPK PV Status"	SPC_NOMOD		1				calcoutINAV
INLV		"1"		"INPL PV Status"	SPC_NOMOD		1				calcoutINAV
INPA			GUI_CALC	"Input A"	SPC_MOD		1				
INPB			GUI_CALC	"Input B"	SPC_MOD		1				
INPC			GUI_CALC	"Input C"	SPC_MOD		1				
INPD			GUI_CALC	"Input D"	SPC_MOD		1				
INPE			GUI_CALC	"Input E"	SPC_MOD		1				
INPF			GUI_CALC	"Input F"	SPC_MOD		1				
INPG			GUI_CALC	"Input G"	SPC_MOD		1				
INPH			GUI_CALC	"Input H"	SPC_MOD		1				
INPI			GUI_CALC	"Input I"	SPC_MOD		1				
INPJ			GUI_CALC	"Input J"	SPC_MOD		1				
INPK			GUI_CALC	"Input K"	SPC_MOD		1				
INPL			GUI_CALC	"Input L"	SPC_MOD		1				
IVOA			GUI_OUTPUT	"INVALID output action"			2				menuIvoa
IVOV			GUI_OUTPUT	"INVALID output value"			2				
J				"Value of Input J"		TRUE					
K				"Value of Input K"		TRUE					
L				"Value of Input L"		TRUE					
LA				"Prev Value of A"	SPC_NOMOD		3				
LALM				"Last Value Alarmed"	SPC_NOMOD		3				
LB				"Prev Value of B"	SPC_NOMOD		3				
LC				"Prev Value of C"	SPC_NOMOD		3				
LCNT				"Lock Count"	SPC_NOMOD		2				
LD				"Prev Value of D"	SPC_NOMOD		3				
LE				"Prev Value of E"	SPC_NOMOD		3				
LF				"Prev Value of F"	SPC_NOMOD		3				
LG				"Prev Value of G"	SPC_NOMOD		3				
LH				"Prev Value of H"	SPC_NOMOD		3				
LI				"Prev Value of I"	SPC_NOMOD		3				
LJ				"Prev Value of J"	SPC_NOMOD		3				
LK				"Prev Value of K"	SPC_NOMOD		3				
LL				"Prev Value of L"	SPC_NOMOD		3				
LLSV			GUI_ALARMS	"Lolo Severity"		TRUE	1				menuAlarmSevr
LOLO			GUI_ALARMS	"Lolo Alarm Limit"		TRUE	1				
LOPR			GUI_DISPLAY	"Low Operating Range"			1				
LOW			GUI_ALARMS	"Low Alarm Limit"		TRUE	1				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV			GUI_ALARMS	"Low Severity"		TRUE	1				menuAlarmSevr
MDEL			GUI_DISPLAY	"Monitor Deadband"			1				
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST				"Last Val Monitored"	SPC_NOMOD		3				
NAME				"Record Name"	SPC_NOMOD				61		
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
OCAL		"0"	GUI_CALC	"Output Calculation"	SPC_CALC	TRUE			80		
OCLV				"OCAL Valid"			1				
ODLY	ASL0		GUI_ALARMS	"Output Execute Delay"			1				
OEVT	ASL0		GUI_CLOCK	"Event To Issue"							
OOPT			GUI_CALC	"Output Execute Opt"			1				calcoutOOPT
ORPC				"Reverse Polish OCalc"	SPC_NOMOD		4			"char     orpc[INFIX_TO_POSTFIX_SIZE(80)]"	
OUT			GUI_OUTPUT	"Output Specification"	SPC_MOD		1				
OUTV				"OUT PV Status"	SPC_NOMOD		1				calcoutINAV
OVAL	ASL0			"Output Value"							
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
POVL	ASL0			"Prev Value of OVAL"							
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PREC			GUI_DISPLAY	"Display Precision"			1				
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
