field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ALG			GUI_ALARMS	"Compression Algorithm"	SPC_RESET		1				compressALG
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BPTR				"Buffer Pointer"	SPC_NOMOD		4			"double           *bptr"	
CVB				"Compress Value Buffer"	SPC_NOMOD		3				
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
EGU			GUI_DISPLAY	"EngineeringUnits"			1		16		
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
HOPR			GUI_DISPLAY	"High Operating Range"			1				
IHIL			GUI_COMPRESS	"Init High Interest Lim"			1				
ILIL			GUI_COMPRESS	"Init Low Interest Lim"			1				
INP			GUI_COMPRESS	"Input Specification"			1				
INPN				"Number of elements in Working Buffer"	SPC_NOMOD		4				
INX				"Compressed Array Inx"	SPC_NOMOD		3				
LCNT				"Lock Count"	SPC_NOMOD		2				
LOPR			GUI_DISPLAY	"Low Operating Range"			1				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
N		"1"	GUI_COMPRESS	"N to 1 Compression"	SPC_RESET		1				
NAME				"Record Name"	SPC_NOMOD				61		
NSAM		"1"	GUI_COMPRESS	"Number of Values"	SPC_NOMOD		1				
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
NUSE				"Number Used"	SPC_NOMOD						
OFF				"Offset"	SPC_NOMOD						
OUSE				"Old Number Used"	SPC_NOMOD						
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PREC			GUI_DISPLAY	"Display Precision"			1				
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
PUTF				"dbPutField process"	SPC_NOMOD		1				
RDES				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RES	ASL0			"Reset"	SPC_RESET		3				
RPRO				"Reprocess "	SPC_NOMOD		1				
RSET				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
SCAN			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDIS			GUI_SCAN	"Scanning Disable"			1				
SEVR		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SPTR				"Summing Buffer Ptr"	SPC_NOMOD		4			"double           *sptr"	
SPVT				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
TIME				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO				"Trace Processing"							
TSE			GUI_SCAN	"Time Stamp Event"			1				
TSEL			GUI_SCAN	"Time Stamp Link"			1				
UDF		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	ASL0			"Value"	SPC_DBADDR	TRUE				"void *           val"	
WPTR				"Working Buffer Ptr"	SPC_NOMOD		4			"double           *wptr"	
