Field	Summary	Type	DCT	Initial	Access	Modify	Rec Proc Monitor
MDT	Minimum Delta Time	FLOAT	Yes	0	Yes	Yes	No
CVL	Controlled value location (an input link)	INLINK	Yes	0	No	No	N/A
VAL	Setpoint value	FLOAT	No	0	Yes	Yes	Yes
KP	Proportional Gain	FLOAT	Yes	0	Yes	Yes	No
KI	Integral Gain, in repeats per minute.	FLOAT	Yes	0	Yes	Yes	No
KD	Derivative Gain, in repeats per minute	FLOAT	Yes	0	Yes	Yes	No
DM	Change in Manipulated Value	FLOAT	No	0	Yes	No	Yes
P	Proportional contribution to DM.	FLOAT	No	0	Yes	No	Yes
I	Integral contribution to DM.	FLOAT	No	0	Yes	No	Yes
D	Derivative contribution to DM.	FLOAT	No	0	Yes	No	Yes
CT	Clock ticks when previous process occurred.	ULONG	No	0	Yes	No	Yes
DT	Time difference in seconds between processing steps.	FLOAT	No	0	Yes	No	Yes
ERR	Current error (VAL - CVAL).	FLOAT	No	0	Yes	No	Yes
DERR	Delta Error	FLOAT	No	0	Yes	No	Yes
OUT	Output Link	OUTLINK	Yes	0	No	No	N/A
ORBL	Output Readback Location	INLINK	Yes		No	No	No
OMOD	Output Mode	RECCHOICE	Yes	0	Yes	No	No
ORBV	Output Readback Value	FLOAT	No	0	Yes	Yes	No
MAX	Maximum Limit	FLOAT	Yes	0	Yes	Yes	No
MIN	Minimum Limit	FLOAT	Yes	0	Yes	Yes	No
DMAX	Maximum Change	FLOAT	Yes	0	Yes	Yes	No
DMIN	Minimum Change	FLOAT	Yes	0	Yes	Yes	No
LOC	Local Mode Switch	INLINK	Yes			No	No
MMOD	Manual Mode Request	GBLCHOICE	Yes	0	Yes	Yes	No
SMOD	Sequencer Mode Request	GBLCHOICE	Yes	0	Yes	Yes	No
MVAL	Manual Value	FLOAT	Yes	0	Yes	Yes	No
SVAL	Sequencer Value	FLOAT	Yes	0	Yes	Yes	No
EGU	Engineering Units	STRING	Yes	null	Yes	Yes	No
HOPR	High Operating Range	FLOAT	Yes	0	Yes	Yes	No
LOPR	Low Operating Range	FLOAT	Yes	0	Yes	Yes	No
PREC	Display Precision	SHORT	Yes	0	Yes	Yes	No
NAME	Record Name	STRING	Yes	0	Yes	No	No
DESC	Description	STRING	Yes	Null	Yes	Yes	No
HIHI	Hihi Alarm Limit	FLOAT	Yes	0	Yes	Yes	No
HIGH	High Alarm Limit	FLOAT	Yes	0	Yes	Yes	No
LOW	Low Alarm Limit	FLOAT	Yes	0	Yes	Yes	No
LOLO	Lolo Alarm Limit	FLOAT	Yes	0	Yes	Yes	No
HHSV	Hihi Alarm Severity	GBLCHOICE	Yes	0	Yes	Yes	No
HSV	High Alarm Severity	GBLCHOICE	Yes	0	Yes	Yes	No
LSV	Low Alarm Severity	GBLCHOICE	Yes	0	Yes	Yes	No
LLSV	Lolo Alarm Severity	GBLCHOICE	Yes	0	Yes	Yes	No
HYST	Alarm Deadband	DOUBLE	Yes	0	Yes	Yes	No
ADEL	Archive Deadband	DOUBLE	Yes	0	Yes	Yes	No
MDEL	Monitor, i.e. value change, Deadband	DOUBLE	Yes	0	Yes	Yes	No
ODEL	Output deadband for DM	FLOAT	Yes	0	Yes	Yes	No
CVAL	Value of controlled variable	FLOAT	No	0	Yes	Yes/No	No
OVAL	Output Value	FLOAT	No	0	Yes	Yes	Yes
ODM	Old DM.	FLOAT	No	0	Yes	No	Yes
LALM	Value from when last monitors for alarm were triggered	FLOAT	No	0	Yes	No	No
ALST	Value when last monitors for archiver were triggered	FLOAT	No	0	Yes	No	No
MLST	Value when last monitors for value changes were triggered	FLOAT	No	0	Yes	No	No
LOVL	Last Readback Value	FLOAT	No	0	Yes	No	No
PMOD	Current Mode	RECCHOICE	Yes	0		No	Yes
LMOD	Last Mode	RECCHOICE	Yes	0	yes	No	No
ODM	Old DM Value	FLOAT	No	0	Yes	No	No
