field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_DISPLAY	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
CT				"Time"	SPC_NOMOD		4			"epicsTimeStamp  ct"	
CTP				"Previous time"	SPC_NOMOD		4			"epicsTimeStamp   ctp"	
CVAL				"Controlled Value"	SPC_NOMOD						
CVLP				"Prev. Controlled Value"	SPC_NOMOD						
D				"D component"	SPC_NOMOD		2				
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DP				"Prev. D component"	SPC_NOMOD		2				
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DRVH			GUI_DISPLAY	"High Drive Limit"			1				
DRVL			GUI_DISPLAY	"Low Drive Limit"			1				
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DT				"Delta T"			2				
DTP				"Prev. Delta T"			2				
DTYP			GUI_LINKS	"Device Type"			1				
EGU			GUI_DISPLAY	"Engineering Units"			1		16		
ERR				"Error"	SPC_NOMOD		2				
ERRP				"Prev. Error"	SPC_NOMOD		2				
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FBON			GUI_PID	"Feedback On/Off"			1				epidFeedbackState
FBOP			GUI_PID	"Prev. feedback On/Off"			1				epidFeedbackState
FLNK			GUI_LINKS	"Forward Process Link"			1				
FMOD			GUI_PID	"Feedback Mode"			1				epidFeedbackMode
