field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_DISPLAY	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DOL			GUI_OUTPUT	"Desired Output Loc"			1				
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DRVH			GUI_OUTPUT	"Drive High Limit"		TRUE	1				
DRVL			GUI_OUTPUT	"Drive Low Limit"		TRUE	1				
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
EGU			GUI_DISPLAY	"Units name"			1		16		
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
HHSV			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
HIHI			GUI_ALARMS	"Hihi Alarm Limit"		TRUE	1				
HOPR			GUI_DISPLAY	"High Operating Range"			1				
HSV			GUI_ALARMS	"High Severity"		TRUE	1				menuAlarmSevr
HYST			GUI_ALARMS	"Alarm Deadband"			1				
IVOA			GUI_OUTPUT	"INVALID output action"			2				menuIvoa
IVOV			GUI_OUTPUT	"INVALID output value"			2				
LALM				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT				"Lock Count"	SPC_NOMOD		2				
LLSV			GUI_ALARMS	"Lolo Severity"		TRUE	1				menuAlarmSevr
LOLO			GUI_ALARMS	"Lolo Alarm Limit"		TRUE	1				
LOPR			GUI_DISPLAY	"Low Operating Range"			1				
LOW			GUI_ALARMS	"Low Alarm Limit"		TRUE	1				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV			GUI_ALARMS	"Low Severity"		TRUE	1				menuAlarmSevr
MDEL			GUI_DISPLAY	"Monitor Deadband"			1				
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST				"Last Val Monitored"	SPC_NOMOD		3				
NAME				"Record Name"	SPC_NOMOD				61		
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
OMSL			GUI_OUTPUT	"Output Mode Select"			1				menuOmsl
OUT			GUI_OUTPUT	"Output Specification"			1				
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
PUTF				"dbPutField process"	SPC_NOMOD		1				
RDES				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RPRO				"Reprocess "	SPC_NOMOD		1				
RSET				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
SCAN			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDIS			GUI_SCAN	"Scanning Disable"			1				
SEVR		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SIML			GUI_INPUTS	"Sim Mode Location"			1				
SIMM				"Simulation Mode"			1				menuYesNo
SIMS			GUI_INPUTS	"Sim mode Alarm Svrty"			2				menuAlarmSevr
SIOL			GUI_INPUTS	"Sim Output Specifctn"			1				
SPVT				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
TIME				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO				"Trace Processing"							
TSE			GUI_SCAN	"Time Stamp Event"			1				
TSEL			GUI_SCAN	"Time Stamp Link"			1				
UDF		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	ASL0		GUI_OUTPUT	"Desired Output"		TRUE					
