field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B0				"Bit 0"		TRUE	1				
B1				"Bit 1"		TRUE	1				
B2				"Bit 2"		TRUE	1				
B3				"Bit 3"		TRUE	1				
B4				"Bit 4"		TRUE	1				
B5				"Bit 5"		TRUE	1				
B6				"Bit 6"		TRUE	1				
B7				"Bit 7"		TRUE	1				
B8				"Bit 8"		TRUE	1				
B9				"Bit 9"		TRUE	1				
BA				"Bit A"		TRUE	1				
BB				"Bit B"		TRUE	1				
BC				"Bit C"		TRUE	1				
BD				"Bit D"		TRUE	1				
BE				"Bit E"		TRUE	1				
BF				"Bit F"		TRUE	1				
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
INP			GUI_MBB	"Input Specification"			1				
LALM				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT				"Lock Count"	SPC_NOMOD		2				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MASK				"Hardware Mask"	SPC_NOMOD		1				
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST				"Last Value Monitored"	SPC_NOMOD		3				
NAME				"Record Name"	SPC_NOMOD				61		
NOBT			GUI_MBB	"Number of Bits"	SPC_NOMOD		1				
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
ORAW				"Prev Raw Value"	SPC_NOMOD		3				
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
PUTF				"dbPutField process"	SPC_NOMOD		1				
RDES				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RPRO				"Reprocess "	SPC_NOMOD		1				
RSET				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
RVAL				"Raw Value"		TRUE					
SCAN			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDEF				"States Defined"	SPC_NOMOD		3				
SDIS			GUI_SCAN	"Scanning Disable"			1				
SEVR		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SHFT			GUI_MBB	"Shift"			1				
SIML			GUI_MBB	"Sim Mode Location"			1				
SIMM				"Simulation Mode"			1				menuSimm
SIMS			GUI_MBB	"Sim mode Alarm Svrty"			2				menuAlarmSevr
SIOL			GUI_MBB	"Sim Input Specifctn"			1				
SPVT				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
SVAL				"Simulation Value"							
TIME				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO				"Trace Processing"							
TSE			GUI_SCAN	"Time Stamp Event"			1				
TSEL			GUI_SCAN	"Time Stamp Link"			1				
UDF		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	ASL0		GUI_INPUTS	"Current Value"		TRUE					
