field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
COSV			GUI_MBB	"Change of State Sevr"		TRUE	1				menuAlarmSevr
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DOL			GUI_MBB	"Desired Output Loc"			1				
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
EIST			GUI_BITS2	"Eight String"	SPC_MOD	TRUE	1		26		
EISV			GUI_BITS2	"State Eight Severity"		TRUE	1				menuAlarmSevr
EIVL			GUI_BITS2	"Eight Value"	SPC_MOD	TRUE	1	HEX			
ELST			GUI_BITS2	"Eleven String"	SPC_MOD	TRUE	1		26		
ELSV			GUI_BITS2	"State Eleven Severity"		TRUE	1				menuAlarmSevr
ELVL			GUI_BITS2	"Eleven Value"	SPC_MOD	TRUE	1	HEX			
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FFST			GUI_BITS2	"Fifteen String"	SPC_MOD	TRUE	1		26		
FFSV			GUI_BITS2	"State Fifteen Sevr"		TRUE	1				menuAlarmSevr
FFVL			GUI_BITS2	"Fifteen Value"	SPC_MOD	TRUE	1	HEX			
FLNK			GUI_LINKS	"Forward Process Link"			1				
FRST			GUI_BITS1	"Four String"	SPC_MOD	TRUE	1		26		
