field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ACQG				"Acquiring"	SPC_NOMOD		1				mcaSTRT
ACT				"Actual counts in pregio"	SPC_NOMOD		1				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BG				"Background"	SPC_DBADDR	TRUE			4	"void *bg"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BPTR				"Buffer Pointer"	SPC_NOMOD		4		4	"void *bptr"	
CALO			GUI_COMMON	"Calibration offset"			1				
CALQ			GUI_COMMON	"Calibration quadratic"			1				
CALS		"1"	GUI_COMMON	"Calibration slope"			1				
CHAS			GUI_COMMON	"Channel-advance source"	SPC_MOD	TRUE	1				mcaCHAS
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTIM				"Average % dead time"	SPC_NOMOD		1				
DTYP			GUI_LINKS	"Device Type"			1				
DWEL		"1.0"	GUI_COMMON	"Dwell time per channel"	SPC_MOD	TRUE	1				
EGU			GUI_DISPLAY	"Calibration Units Name"			1		16		
ELTM				"Elapsed live time"			1				
ERAS			GUI_COMMON	"Erase array"	SPC_MOD	TRUE	1				mcaERAS
ERST			GUI_COMMON	"Erase & Start Acquire"	SPC_MOD	TRUE	1				mcaSTRT
ERTM				"Elapsed real time"			1				
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
