Field	Summary	Type	DCT	Initial	Access	Modify	Rec Proc Monitor
GTYP	Gate Type	RECCHOICE	Yes	0	Yes	Yes	No
HGV	Hardware Gate Value	SHORT	Yes	0	Yes	Yes	No
SGL	Soft Gate Location (Input Link)	INLINK	Yes	0	No	No	N/A
SGV	Soft Gate Value	RECCHOICE	Yes	0	Yes	Yes	No
CTYP	Clock Type	RECCHOICE	Yes	0	Yes	Yes	No
CEDG	Clock Signal Edge	RECCHOICE	Yes	0	Yes	Yes	No
ECS	External Clock Source	SHORT	Yes	0	Yes	Yes	No
ECR	External Clock Rate, in Hz	DOUBLE	Yes	0	Yes	Yes	No
UNIT	Units of time	RECCHOICE	Yes	0	Yes	Yes	No
PER	Period, in UNITs	DOUBLE	Yes	0	Yes	Yes	Yes
DCY	Duty Cycle, percent	DOUBLE	Yes	0	Yes	Yes	Yes
OUT	Output Link	OUTLINK	Yes	0	No	No	N/A
DTYP	Device Type	DEVCHOICE	Yes	0	Yes	No	No
HOPR	High Operating Range	FLOAT	Yes	4.3e+9	Yes	Yes	No
LOPR	Low Operating Range	FLOAT	Yes	0	Yes	Yes	No
PREC	Display Precision	SHORT	Yes	0	Yes	Yes	No
NAME	Record Name	STRING [29]	Yes	0	Yes	No	No
DESC	Description	STRING [29]	Yes	Null	Yes	Yes	No
OPER	Old Period, in UNITS	DOUBLE	No	0	Yes	No	Yes
ODCY	Old Duty Cycle, percent	DOUBLE	No	0	Yes	No	Yes
OSGV	Old Soft Gate Value	SHORT	No	0	Yes	No	No
VAL	Value	SHORT	No	0	Yes	Yes	Yes
LLOW	Low Logic Level	RECCHOICE	Yes	0	Yes	Yes	No
