field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A			GUI_COMMON	"Value of Input A"		TRUE					
AA			GUI_COMMON	"Value of string input AA"		TRUE	4		40		
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_DISPLAY	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B			GUI_COMMON	"Value of Input B"		TRUE					
BB			GUI_COMMON	"Value of string input BB"		TRUE	4		40		
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C			GUI_COMMON	"Value of Input C"		TRUE					
CALC			GUI_CALC	"Calculation"	SPC_MOD	TRUE			40		
CC			GUI_COMMON	"Value of string input CC"		TRUE	4		40		
CLCV				"CALC Valid"			1				
D			GUI_COMMON	"Value of Input D"		TRUE					
DD			GUI_COMMON	"Value of string input DD"		TRUE	4		40		
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DLYA	ASL0			"Output Delay Active"	SPC_NOMOD						
DOPT			GUI_CALC	"Output Data Opt"			1				scalcoutDOPT
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E			GUI_COMMON	"Value of Input E"		TRUE					
EE			GUI_COMMON	"Value of string input EE"		TRUE	4		40		
EGU			GUI_DISPLAY	"Units Name"			1		16		
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F			GUI_COMMON	"Value of Input F"		TRUE					
FF			GUI_COMMON	"Value of string input FF"		TRUE	4		40		
FLNK			GUI_LINKS	"Forward Process Link"			1				
G			GUI_COMMON	"Value of Input G"		TRUE					
GG			GUI_COMMON	"Value of string input GG"		TRUE	4		40		
H			GUI_COMMON	"Value of Input H"		TRUE					
HH			GUI_COMMON	"Value of string input HH"		TRUE	4		40		
