field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
CNT				"Count"	SPC_MOD	TRUE	1				scalerCNT
CONT				"OneShot/AutoCount"	SPC_MOD	TRUE	1				scalerCONT
COUT			GUI_COMMON	"CNT Output"	SPC_MOD		1				
COUTP			GUI_COMMON	"CNT Output Prompt"	SPC_MOD		1				
D1		"1"	GUI_COMMON	"Count Direction 1"			1				scalerD1
D10			GUI_COMMON	"Count Direction 10"			1				scalerD1
D11			GUI_COMMON	"Count Direction 11"			1				scalerD1
D12			GUI_COMMON	"Count Direction 12"			1				scalerD1
D13			GUI_COMMON	"Count Direction 13"			1				scalerD1
D14			GUI_COMMON	"Count Direction 14"			1				scalerD1
D15			GUI_COMMON	"Count Direction 15"			1				scalerD1
D16			GUI_COMMON	"Count Direction 16"			1				scalerD1
D17			GUI_COMMON	"Count Direction 17"			1				scalerD1
D18			GUI_COMMON	"Count Direction 18"			1				scalerD1
D19			GUI_COMMON	"Count Direction 19"			1				scalerD1
D2			GUI_COMMON	"Count Direction 2"			1				scalerD1
D20			GUI_COMMON	"Count Direction 20"			1				scalerD1
D21			GUI_COMMON	"Count Direction 21"			1				scalerD1
D22			GUI_COMMON	"Count Direction 22"			1				scalerD1
D23			GUI_COMMON	"Count Direction 23"			1				scalerD1
D24			GUI_COMMON	"Count Direction 24"			1				scalerD1
D25			GUI_COMMON	"Count Direction 25"			1				scalerD1
D26			GUI_COMMON	"Count Direction 26"			1				scalerD1
D27			GUI_COMMON	"Count Direction 27"			1				scalerD1
D28			GUI_COMMON	"Count Direction 28"			1				scalerD1
