Field	Summary	Type	DCT	Initial	Access	Modify	Rec Proc Monitor
P1SM	Positioner 1 Step Mode	RECCHOICE	Yes	0	Yes	Yes	No
P2SM	Positioner 2 Step Mod	RECCHOICE	Yes	0	Yes	Yes	No
P3SM	Positioner 3 Step Mode	RECCHOICE	Yes	0	Yes	Yes	No
P4SM	Positioner 4 Step Mode	RECCHOICE	Yes	0	Yes	Yes	No
NPTS	Number of Points	SHORT	Yes	100	Yes	Yes	Yes
MPTS	Maximum Number of Points	SHORT	Yes	100	Yes	No	No
P1SP	Positioner 1 Starting Point	FLOAT	Yes	0	Yes	Yes	Yes
P2SP	Positioner 2 Starting Point	FLOAT	Yes	0	Yes	Yes	Yes
P3SP	Positioner 3 Starting Point	FLOAT	Yes	0	Yes	Yes	Yes
P4SP	Positioner 4 Starting Point	FLOAT	Yes	0	Yes	Yes	Yes
P1EP	Positioner 1 Ending Point	FLOAT	Yes	0	Yes	Yes	Yes
P2EP	Positioner 2 Ending Point	FLOAT	Yes	0	Yes	Yes	Yes
P3EP	Positioner 3 Ending Point	FLOAT	Yes	0	Yes	Yes	Yes
P4EP	Positioner 4 Ending Point	FLOAT	Yes	0	Yes	Yes	Yes
P1CP	Positioner 1 Center Point	FLOAT	Yes	0	Yes	Yes	Yes
P2CP	Positioner 2 Center Point	FLOAT	Yes	0	Yes	Yes	Yes
P3CP	Positioner 3 Center Point	FLOAT	Yes	0	Yes	Yes	Yes
P4CP	Positioner 4 Center Point	FLOAT	Yes	0	Yes	Yes	Yes
P1WD	Positioner 1 Width	FLOAT	Yes	0	Yes	Yes	Yes
P2WD	Positioner 2 Width	FLOAT	Yes	0	Yes	Yes	Yes
P3WD	Positioner 3 Width	FLOAT	Yes	0	Yes	Yes	Yes
P4WD	Positioner 4 Width	FLOAT	Yes	0	Yes	Yes	Yes
P1SI	Positioner 1 Step Increment	FLOAT	Yes	0	Yes	Yes	Yes
P2SI	Positioner 2 Step Increment	FLOAT	Yes	0	Yes	Yes	Yes
P3SI	Positioner 3 Step Increment	FLOAT	Yes	0	Yes	Yes	Yes
P4SI	Positioner 4 Step Increment	FLOAT	Yes	0	Yes	Yes	Yes
FPTS	Freeze Flag for NPTS	RECCHOICE	Yes	1	Yes	Yes	No
FFO	Freeze Flag Override	RECCHOICE	Yes	Null	Yes	Yes	No
		RECCHOICE	Yes	1	Yes	Yes	No
		RECCHOICE	Yes	0	Yes	Yes	No
		RECCHOICE	Yes	1	Yes	Yes	No
		RECCHOICE	Yes	0	Yes	Yes	No
		RECCHOICE	Yes	0	Yes	Yes	No
P1PA	Positioner 1 Position Array	FLOAT[ ]	No	Null	Yes	Yes	Yes
P2PA	Positioner 2 Position Array	FLOAT[ ]	No	Null	Yes	Yes	Yes
P3PA	Positioner 3 Position Array	FLOAT[ ]	No	Null	Yes	Yes	Yes
P4PA	Positioner 4 Position Array	FLOAT[ ]	No	Null	Yes	Yes	Yes
R1PV	Readback 1 Process Variable	STRING [40]	Yes	Null	Yes	Yes	No
R2PV	Readback 2 Process Variable	STRING [40]	Yes	Null	Yes	Yes	No
