field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DLY1			GUI_SEQ1	"Delay 1"			1				
DLY2			GUI_SEQ1	"Delay 2"			1				
DLY3			GUI_SEQ1	"Delay 3"			1				
DLY4			GUI_SEQ2	"Delay 4"			1				
DLY5			GUI_SEQ2	"Delay 5"			1				
DLY6			GUI_SEQ2	"Delay 6"			1				
DLY7			GUI_SEQ3	"Delay 7"			1				
DLY8			GUI_SEQ3	"Delay 8"			1				
DLY9			GUI_SEQ3	"Delay 9"			1				
DLYA			GUI_SEQ3	"Delay 10"			1				
DO1				"Constant input 1"			1				
DO2				"Constant input 2"			1				
DO3				"Constant input 3"			1				
DO4				"Constant input 4"			1				
DO5				"Constant input 5"			1				
DO6				"Constant input 6"			1				
DO7				"Constant input 7"			1				
DO8				"Constant input 8"			1				
DO9				"Constant input 9"			1				
DOA				"Constant input 10"			1				
DOL1			GUI_SEQ1	"Input link1"			1				
DOL2			GUI_SEQ1	"Input link 2"			1				
DOL3			GUI_SEQ1	"Input link 3"			1				
DOL4			GUI_SEQ2	"Input link 4"			1				
DOL5			GUI_SEQ2	"Input link 5"			1				
DOL6			GUI_SEQ2	"Input link 6"			1				
DOL7			GUI_SEQ3	"Input link 7"			1				
DOL8			GUI_SEQ3	"Input link 8"			1				
DOL9			GUI_SEQ3	"Input link 9"			1				
DOLA			GUI_SEQ3	"Input link 10"			1				
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
LCNT				"Lock Count"	SPC_NOMOD		2				
LNK1			GUI_SEQ1	"Output Link 1"			1				
LNK2			GUI_SEQ1	"Output Link 2"			1				
LNK3			GUI_SEQ1	"Output Link 3"			1				
LNK4			GUI_SEQ2	"Output Link 4"			1				
LNK5			GUI_SEQ2	"Output Link 5"			1				
LNK6			GUI_SEQ2	"Output Link 6"			1				
LNK7			GUI_SEQ3	"Output Link 7"			1				
LNK8			GUI_SEQ3	"Output Link 8"			1				
LNK9			GUI_SEQ3	"Output Link 9"			1				
LNKA			GUI_SEQ3	"Output Link 10"			1				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
NAME				"Record Name"	SPC_NOMOD				61		
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PREC			GUI_DISPLAY	"Display Precision"			1				
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
PUTF				"dbPutField process"	SPC_NOMOD		1				
RDES				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RPRO				"Reprocess "	SPC_NOMOD		1				
RSET				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
SCAN			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDIS			GUI_SCAN	"Scanning Disable"			1				
SELL			GUI_INPUTS	"Link Selection Loc"			1				
SELM			GUI_INPUTS	"Select Mechanism"			1				seqSELM
SELN		"1"		"Link Selection"			1				
SEVR		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SPVT				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
TIME				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO				"Trace Processing"							
TSE			GUI_SCAN	"Time Stamp Event"			1				
TSEL			GUI_SCAN	"Time Stamp Link"			1				
UDF		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	ASL0			"Used to trigger"		TRUE					
