field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A1CD	ASL0	1.0	GUI_INPUTS	"A1 Cmnd"	SPC_MOD		1				
A1NV				"A1  PV Status"	SPC_NOMOD		1				sscanP1NV
A1PV	ASL0		GUI_CALC	"Array-read trigger 1 PV Name"	SPC_MOD		1		40		
AAWAIT			GUI_INPUTS	"AutoWait for data-storage client"							sscanNOYES
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ACQM	ASL0	"NORMAL"	GUI_COMMON	"Acquisition mode"	SPC_MOD		1				sscanACQM
ACQT	ASL0	"SCALAR"	GUI_COMMON	"Acquisition type"	SPC_MOD		1				sscanACQT
ALRT				"Operator Alert"	SPC_NOMOD						
ASCD	ASL0	1.0	GUI_INPUTS	"After Scan Cmnd"	SPC_MOD		1				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASNV				"After Scan PV Status"	SPC_NOMOD		1				sscanP1NV
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
ASPV	ASL0		GUI_CALC	"After Scan   PV Name"	SPC_MOD		1		40		
ASWAIT	ASL0	"Wait"	GUI_INPUTS	"Wait for completion?"			1				sscanLINKWAIT
ATIME	ASL0		GUI_INPUTS	"Array post time period"	SPC_MOD		1				
AWAIT				"Waiting for data-storage client"	SPC_MOD						
AWCT				"Auto WCNT"	SPC_MOD						
BCPT				"Bufferred Current Point"	SPC_NOMOD		1				
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BSCD	ASL0	1.0	GUI_INPUTS	"Before Scan Cmnd"	SPC_MOD		1				
BSNV				"BeforeScan PV Status"	SPC_NOMOD		1				sscanP1NV
BSPV	ASL0		GUI_CALC	"Before Scan  PV Name"	SPC_MOD		1		40		
BSWAIT	ASL0	"Wait"	GUI_INPUTS	"Wait for completion?"			1				sscanLINKWAIT
BUSY				"Scan in progress"	SPC_NOMOD						
CMND	ASL0			"Command Field"	SPC_MOD		1				sscanCMND
COPYTO			GUI_COMMON	"Copy Last Pt Thru"			1				
CPT				"Current Point"	SPC_NOMOD		1				
D01CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d01ca"	
D01CV	ASL0			"Current Value"	SPC_NOMOD		1				
D01DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d01da"	
D01EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D01HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D01LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D01LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D01NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D01NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D01PR	ASL0		GUI_HIST	"Display Precision"			1				
D01PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D02CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d02ca"	
D02CV	ASL0			"Current Value"	SPC_NOMOD		1				
D02DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d02da"	
D02EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D02HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D02LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D02LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D02NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D02NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D02PR	ASL0		GUI_HIST	"Display Precision"			1				
D02PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D03CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d03ca"	
D03CV	ASL0			"Current Value"	SPC_NOMOD		1				
D03DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d03da"	
D03EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D03HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D03LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D03LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D03NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D03NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D03PR	ASL0		GUI_HIST	"Display Precision"			1				
D03PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D04CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d04ca"	
D04CV	ASL0			"Current Value"	SPC_NOMOD		1				
D04DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d04da"	
D04EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D04HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D04LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D04LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D04NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D04NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D04PR	ASL0		GUI_HIST	"Display Precision"			1				
D04PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D05CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d05ca"	
D05CV	ASL0			"Current Value"	SPC_NOMOD		1				
D05DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d05da"	
D05EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D05HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D05LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D05LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D05NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D05NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D05PR	ASL0		GUI_HIST	"Display Precision"			1				
D05PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D06CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d06ca"	
D06CV	ASL0			"Current Value"	SPC_NOMOD		1				
D06DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d06da"	
D06EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D06HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D06LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D06LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D06NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D06NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D06PR	ASL0		GUI_HIST	"Display Precision"			1				
D06PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D07CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d07ca"	
D07CV	ASL0			"Current Value"	SPC_NOMOD		1				
D07DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d07da"	
D07EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D07HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D07LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D07LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D07NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D07NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D07PR	ASL0		GUI_HIST	"Display Precision"			1				
D07PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D08CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d08ca"	
D08CV	ASL0			"Current Value"	SPC_NOMOD		1				
D08DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d08da"	
D08EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D08HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D08LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D08LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D08NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D08NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D08PR	ASL0		GUI_HIST	"Display Precision"			1				
D08PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D09CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d09ca"	
D09CV	ASL0			"Current Value"	SPC_NOMOD		1				
D09DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d09da"	
D09EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D09HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D09LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D09LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D09NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D09NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D09PR	ASL0		GUI_HIST	"Display Precision"			1				
D09PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D10CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d10ca"	
D10CV	ASL0			"Current Value"	SPC_NOMOD		1				
D10DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d10da"	
D10EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D10HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D10LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D10LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D10NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D10NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D10PR	ASL0		GUI_HIST	"Display Precision"			1				
D10PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D11CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d11ca"	
D11CV	ASL0			"Current Value"	SPC_NOMOD		1				
D11DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d11da"	
D11EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D11HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D11LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D11LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D11NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D11NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D11PR	ASL0		GUI_HIST	"Display Precision"			1				
D11PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D12CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d12ca"	
D12CV	ASL0			"Current Value"	SPC_NOMOD		1				
D12DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d12da"	
D12EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D12HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D12LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D12LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D12NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D12NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D12PR	ASL0		GUI_HIST	"Display Precision"			1				
D12PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D13CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d13ca"	
D13CV	ASL0			"Current Value"	SPC_NOMOD		1				
D13DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d13da"	
D13EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D13HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D13LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D13LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D13NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D13NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D13PR	ASL0		GUI_HIST	"Display Precision"			1				
D13PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D14CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d14ca"	
D14CV	ASL0			"Current Value"	SPC_NOMOD		1				
D14DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d14da"	
D14EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D14HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D14LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D14LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D14NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D14NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D14PR	ASL0		GUI_HIST	"Display Precision"			1				
D14PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D15CA	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d15ca"	
D15CV	ASL0			"Current Value"	SPC_NOMOD		1				
D15DA	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d15da"	
D15EU	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D15HR	ASL0		GUI_CONVERT	"High Oper Range"			1				
D15LR	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D15LV	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D15NE	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D15NV				"PV Status"	SPC_NOMOD		1				sscanP1NV
D15PR	ASL0		GUI_HIST	"Display Precision"			1				
D15PV	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
