field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ABORT				"Abort sequence"	SPC_MOD		1				
ABORTING				"Aborting"	SPC_MOD		1				
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BUSY				"Sequence active"	SPC_NOMOD		1				
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DLY1			GUI_SEQ1	"Delay 1"	SPC_MOD		1				
DLY2			GUI_SEQ1	"Delay 2"	SPC_MOD		1				
DLY3			GUI_SEQ1	"Delay 3"	SPC_MOD		1				
DLY4			GUI_SEQ2	"Delay 4"	SPC_MOD		1				
DLY5			GUI_SEQ2	"Delay 5"	SPC_MOD		1				
DLY6			GUI_SEQ2	"Delay 6"	SPC_MOD		1				
DLY7			GUI_SEQ3	"Delay 7"	SPC_MOD		1				
DLY8			GUI_SEQ3	"Delay 8"	SPC_MOD		1				
DLY9			GUI_SEQ3	"Delay 9"	SPC_MOD		1				
DLYA			GUI_SEQ3	"Delay 10"	SPC_MOD		1				
DO1			GUI_SEQ1	"Constant input 1"	SPC_MOD		1				
DO2			GUI_SEQ1	"Constant input 2"	SPC_MOD		1				
DO3			GUI_SEQ1	"Constant input 3"	SPC_MOD		1				
DO4			GUI_SEQ1	"Constant input 4"	SPC_MOD		1				
DO5			GUI_SEQ1	"Constant input 5"	SPC_MOD		1				
DO6			GUI_SEQ1	"Constant input 6"	SPC_MOD		1				
DO7			GUI_SEQ1	"Constant input 7"	SPC_MOD		1				
DO8			GUI_SEQ1	"Constant input 8"	SPC_MOD		1				
DO9			GUI_SEQ1	"Constant input 9"	SPC_MOD		1				
DOA			GUI_SEQ1	"Constant input 10"	SPC_MOD		1				
DOL1			GUI_SEQ1	"Input link1"	SPC_MOD		1				
DOL1V		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL2			GUI_SEQ1	"Input link 2"	SPC_MOD		1				
DOL2V		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL3			GUI_SEQ1	"Input link 3"	SPC_MOD		1				
