field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A				"Value of Input A"		TRUE					
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_DISPLAY	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B				"Value of Input B"		TRUE					
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BRSV			GUI_SUB	"Bad Return Severity"		TRUE	1				menuAlarmSevr
C				"Value of Input C"		TRUE					
D				"Value of Input D"		TRUE					
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E				"Value of Input E"		TRUE					
EGU			GUI_DISPLAY	"Units Name"			1		16		
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F				"Value of Input F"		TRUE					
FLNK			GUI_LINKS	"Forward Process Link"			1				
G				"Value of Input G"		TRUE					
H				"Value of Input H"		TRUE					
HHSV			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
HIHI			GUI_ALARMS	"Hihi Alarm Limit"		TRUE	1				
HOPR			GUI_DISPLAY	"High Operating Rng"			1				
HSV			GUI_ALARMS	"High Severity"		TRUE	1				menuAlarmSevr
HYST			GUI_ALARMS	"Alarm Deadband"			1				
I				"Value of Input I"		TRUE					
INAM			GUI_SUB	"Init Routine Name"	SPC_NOMOD		1		40		
INPA			GUI_INPUTS	"Input A"			1				
INPB			GUI_INPUTS	"Input B"			1				
INPC			GUI_INPUTS	"Input C"			1				
INPD			GUI_INPUTS	"Input D"			1				
INPE			GUI_INPUTS	"Input E"			1				
INPF			GUI_INPUTS	"Input F"			1				
INPG			GUI_INPUTS	"Input G"			1				
INPH			GUI_INPUTS	"Input H"			1				
INPI			GUI_INPUTS	"Input I"			1				
INPJ			GUI_INPUTS	"Input J"			1				
INPK			GUI_INPUTS	"Input K"			1				
INPL			GUI_INPUTS	"Input L"			1				
J				"Value of Input J"		TRUE					
K				"Value of Input K"		TRUE					
L				"Value of Input L"		TRUE					
LA				"Prev Value of A"	SPC_NOMOD		3				
LALM				"Last Value Alarmed"	SPC_NOMOD		3				
LB				"Prev Value of B"	SPC_NOMOD		3				
LC				"Prev Value of C"	SPC_NOMOD		3				
LCNT				"Lock Count"	SPC_NOMOD		2				
LD				"Prev Value of D"	SPC_NOMOD		3				
LE				"Prev Value of E"	SPC_NOMOD		3				
LF				"Prev Value of F"	SPC_NOMOD		3				
LG				"Prev Value of G"	SPC_NOMOD		3				
LH				"Prev Value of H"	SPC_NOMOD		3				
LI				"Prev Value of I"	SPC_NOMOD		3				
LJ				"Prev Value of J"	SPC_NOMOD		3				
LK				"Prev Value of K"	SPC_NOMOD		3				
LL				"Prev Value of L"	SPC_NOMOD		3				
LLSV			GUI_ALARMS	"Lolo Severity"		TRUE	1				menuAlarmSevr
LOLO			GUI_ALARMS	"Lolo Alarm Limit"		TRUE	1				
LOPR			GUI_DISPLAY	"Low Operating Range"			1				
LOW			GUI_ALARMS	"Low Alarm Limit"		TRUE	1				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV			GUI_ALARMS	"Low Severity"		TRUE	1				menuAlarmSevr
MDEL			GUI_DISPLAY	"Monitor Deadband"			1				
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST				"Last Value Monitored"	SPC_NOMOD		3				
NAME				"Record Name"	SPC_NOMOD				61		
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PREC			GUI_DISPLAY	"Display Precision"			1				
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
PUTF				"dbPutField process"	SPC_NOMOD		1				
RDES				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RPRO				"Reprocess "	SPC_NOMOD		1				
RSET				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
SADR				"Subroutine Address"	SPC_NOMOD		4			"SUBFUNCPTR sadr"	
SCAN			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDIS			GUI_SCAN	"Scanning Disable"			1				
SEVR		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SNAM			GUI_SUB	"Subroutine Name"	SPC_MOD		1		40		
SPVT				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
TIME				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO				"Trace Processing"							
TSE			GUI_SCAN	"Time Stamp Event"			1				
TSEL			GUI_SCAN	"Time Stamp Link"			1				
UDF		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	ASL0			"Result"		TRUE					
