field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A				"Value of Input A"		TRUE					
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL			GUI_CLOCK	"Archive Deadband"			1				
ALST				"Last Value Archived"	SPC_NOMOD		3				
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B				"Value of Input B"		TRUE					
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C				"Value of Input C"		TRUE					
CALC	ASL0	"0"	GUI_CLOCK	"Calculation"	SPC_CALC				36		
CBST				"Pointer to cbStruct"	SPC_NOMOD		4		4	"void *         cbst"	
CLCV				"CALC Valid"			1				
D				"Value of Input D"		TRUE					
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DOLD	ASL0		GUI_CLOCK	"Desired Output Data"			1				
DOLN	ASL0		GUI_CALC	"DOL  PV Name"	SPC_MOD		1		40		
DOLV				"DOL  PV Status"	SPC_NOMOD		1				swaitINAV
DOPT			GUI_CALC	"Output Data Option"			1				swaitDOPT
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E				"Value of Input E"		TRUE					
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F				"Value of Input F"		TRUE					
FLNK			GUI_LINKS	"Forward Process Link"			1				
G				"Value of Input G"		TRUE					
H				"Value of Input H"		TRUE					
HOPR	ASL0		GUI_ALARMS	"High Operating Range"			1				
I				"Value of Input I"		TRUE					
INAN	ASL0		GUI_CALC	"INPA PV Name"	SPC_MOD		1		40		
INAP		"Yes"	GUI_CALC	"INPA causes I/O INTR"			1				swaitINAP
INAV				"INPA PV Status"	SPC_NOMOD		1				swaitINAV
INBN	ASL0		GUI_CALC	"INPB PV Name"	SPC_MOD		1		40		
INBP		"Yes"	GUI_CALC	"INPB causes I/O INTR"			1				swaitINAP
INBV				"INPB PV Status"	SPC_NOMOD		1				swaitINAV
INCN	ASL0		GUI_CALC	"INPC PV Name"	SPC_MOD		1		40		
INCP		"Yes"	GUI_CALC	"INPC causes I/O INTR"			1				swaitINAP
INCV				"INPC PV Status"	SPC_NOMOD		1				swaitINAV
INDN	ASL0		GUI_CALC	"INPD PV Name"	SPC_MOD		1		40		
INDP		"Yes"	GUI_CALC	"INPD causes I/O INTR"			1				swaitINAP
INDV				"INPD PV Status"	SPC_NOMOD		1				swaitINAV
INEN	ASL0		GUI_CALC	"INPE PV Name"	SPC_MOD		1		40		
INEP		"Yes"	GUI_CALC	"INPE causes I/O INTR"			1				swaitINAP
INEV				"INPE PV Status"	SPC_NOMOD		1				swaitINAV
INFN	ASL0		GUI_CALC	"INPF PV Name"	SPC_MOD		1		40		
INFP		"Yes"	GUI_CALC	"INPF causes I/O INTR"			1				swaitINAP
INFV				"INPF PV Status"	SPC_NOMOD		1				swaitINAV
INGN	ASL0		GUI_CALC	"INPG PV Name"	SPC_MOD		1		40		
INGP		"Yes"	GUI_CALC	"INPG causes I/O INTR"			1				swaitINAP
INGV				"INPG PV Status"	SPC_NOMOD		1				swaitINAV
INHN	ASL0		GUI_CALC	"INPH PV Name"	SPC_MOD		1		40		
INHP		"Yes"	GUI_CALC	"INPH causes I/O INTR"			1				swaitINAP
INHV				"INPH PV Status"	SPC_NOMOD		1				swaitINAV
ININ	ASL0		GUI_CALC	"INPI PV Name"	SPC_MOD		1		40		
INIP		"Yes"	GUI_CALC	"INPI causes I/O INTR"			1				swaitINAP
INIT				"Initialized?"	SPC_NOMOD		3				
INIV				"INPI PV Status"	SPC_NOMOD		1				swaitINAV
INJN	ASL0		GUI_CALC	"INPJ PV Name"	SPC_MOD		1		40		
INJP		"Yes"	GUI_CALC	"INPJ causes I/O INTR"			1				swaitINAP
INJV				"INPJ PV Status"	SPC_NOMOD		1				swaitINAV
INKN	ASL0		GUI_CALC	"INPK PV Name"	SPC_MOD		1		40		
INKP		"Yes"	GUI_CALC	"INPK causes I/O INTR"			1				swaitINAP
INKV				"INPK PV Status"	SPC_NOMOD		1				swaitINAV
INLN	ASL0		GUI_CALC	"INPL PV Name"	SPC_MOD		1		40		
INLP		"Yes"	GUI_CALC	"INPL causes I/O INTR"			1				swaitINAP
INLV				"INPL PV Status"	SPC_NOMOD		1				swaitINAV
J				"Value of Input J"		TRUE					
K				"Value of Input K"		TRUE					
L				"Value of Input L"		TRUE					
LA				"Last Val of Input A"							
LB				"Last Val of Input B"							
LC				"Last Val of Input C"							
LCNT				"Lock Count"	SPC_NOMOD		2				
LD				"Last Val of Input D"							
LE				"Last Val of Input E"							
LF				"Last Val of Input F"							
LG				"Last Val of Input G"							
LH				"Last Val of Input H"							
LI				"Last Val of Input I"							
LJ				"Last Val of Input J"							
LK				"Last Val of Input K"							
LL				"Last Val of Input L"							
LOPR	ASL0		GUI_BITS1	"Low Operating Range"			1				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MDEL			GUI_CLOCK	"Monitor Deadband"			1				
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST				"Last Val Monitored"	SPC_NOMOD		3				
NAME				"Record Name"	SPC_NOMOD				61		
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
ODLY	ASL0		GUI_ALARMS	"Output Execute Delay"			1				
OEVT	ASL0		GUI_CLOCK	"Event To Issue"							
OOPT			GUI_CALC	"Output Execute Opt"			1				swaitOOPT
OUTN	ASL0		GUI_CALC	"OUT  PV Name"	SPC_MOD		1		40		
OUTV				"OUT  PV Status"	SPC_NOMOD		1				swaitINAV
OVAL				"Old Value"							
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PREC			GUI_COMMON	"Display Precision"			1				
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
