field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A				"x to m matrix"	SPC_DBADDR		1		4	"double **        a"	
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
AEGU			GUI_COMMON	"Angular Units Name"			1		16		
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
AX				"x angle"	SPC_MOD	TRUE					
AX0				"x-angle offset"							
AXL				"x angle true value"	SPC_NOMOD						
AXRB				"x angle readback"	SPC_NOMOD						
AY				"y angle"	SPC_MOD	TRUE					
AY0				"y-angle offset"							
AYL				"y angle true value"	SPC_NOMOD						
AYRB				"y angle readback"	SPC_NOMOD						
AZ				"z angle"	SPC_MOD	TRUE					
AZ0				"z-angle offset"							
AZL				"z angle true value"	SPC_NOMOD						
AZRB				"z angle readback"	SPC_NOMOD						
B				"m to x matrix"	SPC_DBADDR		1		4	"double **        b"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E0X				"encoder 0X val"	SPC_NOMOD						
E0XI			GUI_COMMON	"encoder 0X inlink"	SPC_NOMOD		1				
E0Y				"encoder 0Y val"	SPC_NOMOD						
E0YI			GUI_COMMON	"encoder 0Y inlink"	SPC_NOMOD		1				
E1Y				"encoder 1Y val"	SPC_NOMOD						
E1YI			GUI_COMMON	"encoder 1Y inlink"	SPC_NOMOD		1				
E2X				"encoder 2X val"	SPC_NOMOD						
E2XI			GUI_COMMON	"encoder 2X inlink"	SPC_NOMOD		1				
E2Y				"encoder 2Y val"	SPC_NOMOD						
E2YI			GUI_COMMON	"encoder 2Y inlink"	SPC_NOMOD		1				
E2Z				"encoder 2Z val"	SPC_NOMOD						
E2ZI			GUI_COMMON	"encoder 2Z inlink"	SPC_NOMOD		1				
EAX				"encoder x angle"	SPC_NOMOD						
EAY				"encoder y angle"	SPC_NOMOD						
EAZ				"encoder z angle"	SPC_NOMOD						
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
EX				"encoder x"	SPC_NOMOD						
EY				"encoder y"	SPC_NOMOD						
EZ				"encoder z"	SPC_NOMOD						
FLNK			GUI_LINKS	"Forward Process Link"			1				
GEOM			GUI_COMMON	"Geometry"	SPC_MOD	TRUE					tableGEOM
H0X				"motor 0X hi limit"	SPC_NOMOD						
H0XL			GUI_COMMON	"motor 0X HLM link"	SPC_NOMOD		1				
H0Y				"motor 0Y hi limit"	SPC_NOMOD						
H0YL			GUI_COMMON	"motor 0Y HLM link"	SPC_NOMOD		1				
H1Y				"motor 1Y hi limit"	SPC_NOMOD						
H1YL			GUI_COMMON	"motor 1Y HLM link"	SPC_NOMOD		1				
H2X				"motor 2X hi limit"	SPC_NOMOD						
H2XL			GUI_COMMON	"motor 2X HLM link"	SPC_NOMOD		1				
H2Y				"motor 2Y hi limit"	SPC_NOMOD						
H2YL			GUI_COMMON	"motor 2Y HLM link"	SPC_NOMOD		1				
H2Z				"motor 2Z hi limit"	SPC_NOMOD						
H2ZL			GUI_COMMON	"motor 2Z HLM link"	SPC_NOMOD		1				
HLAX				"x angle hi limit"	SPC_NOMOD						
HLAY				"y angle hi limit"	SPC_NOMOD						
HLAZ				"z angle hi limit"	SPC_NOMOD						
HLX				"x hi limit"	SPC_NOMOD						
HLY				"y hi limit"	SPC_NOMOD						
HLZ				"z hi limit"	SPC_NOMOD						
INIT				"init table"	SPC_MOD	TRUE					
L0X				"motor 0X lo limit"	SPC_NOMOD						
L0XL			GUI_COMMON	"motor 0X LLM link"	SPC_NOMOD		1				
L0Y				"motor 0Y lo limit"	SPC_NOMOD						
L0YL			GUI_COMMON	"motor 0Y LLM link"	SPC_NOMOD		1				
L1Y				"motor 1Y lo limit"	SPC_NOMOD						
L1YL			GUI_COMMON	"motor 1Y LLM link"	SPC_NOMOD		1				
L2X				"motor 2X lo limit"	SPC_NOMOD						
L2XL			GUI_COMMON	"motor 2X LLM link"	SPC_NOMOD		1				
L2Y				"motor 2Y lo limit"	SPC_NOMOD						
L2YL			GUI_COMMON	"motor 2Y LLM link"	SPC_NOMOD		1				
L2Z				"motor 2Z lo limit"	SPC_NOMOD						
L2ZL			GUI_COMMON	"motor 2Z LLM link"	SPC_NOMOD		1				
LCNT				"Lock Count"	SPC_NOMOD		2				
LEGU			GUI_COMMON	"Linear Units Name"			1		16		
LLAX				"x angle lo limit"	SPC_NOMOD						
LLAY				"y angle lo limit"	SPC_NOMOD						
LLAZ				"z angle lo limit"	SPC_NOMOD						
LLX				"x lo limit"	SPC_NOMOD						
LLY				"y lo limit"	SPC_NOMOD						
LLZ				"z lo limit"	SPC_NOMOD						
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LVIO				"limit violation"	SPC_NOMOD						
LX			GUI_COMMON	"wheelbase x"	SPC_MOD	TRUE					
LZ			GUI_COMMON	"wheelbase z"	SPC_MOD	TRUE					
M0X				"motor 0X val"	SPC_NOMOD						
M0XL			GUI_COMMON	"motor 0X outlink"	SPC_NOMOD		1				
M0Y				"motor 0Y val"	SPC_NOMOD						
M0YL			GUI_COMMON	"motor 0Y outlink"	SPC_NOMOD		1				
M1Y				"motor 1Y val"	SPC_NOMOD						
M1YL			GUI_COMMON	"motor 1Y outlink"	SPC_NOMOD		1				
M2X				"motor 2X val"	SPC_NOMOD						
