field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A			GUI_COMMON	"Value of A"	SPC_MOD	TRUE					
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B			GUI_COMMON	"Value of B"	SPC_MOD	TRUE					
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C			GUI_COMMON	"Value of C"	SPC_MOD	TRUE					
CAV				"CALC Invalid"			1				
CBV				"CALC Invalid"			1				
CCV				"CALC Invalid"			1				
CDV				"CALC Invalid"			1				
CEV				"CALC Invalid"			1				
CFV				"CALC Invalid"			1				
CGV				"CALC Invalid"			1				
CHV				"CALC Invalid"			1				
CIV				"CALC Invalid"			1				
CJV				"CALC Invalid"			1				
CKV				"CALC Invalid"			1				
CLCA			GUI_COMMON	"Calculation A"	SPC_MOD				40		
CLCB			GUI_COMMON	"Calculation B"	SPC_MOD				40		
CLCC			GUI_COMMON	"Calculation C"	SPC_MOD				40		
CLCD			GUI_COMMON	"Calculation D"	SPC_MOD				40		
CLCE			GUI_COMMON	"Calculation E"	SPC_MOD				40		
CLCF			GUI_COMMON	"Calculation F"	SPC_MOD				40		
CLCG			GUI_COMMON	"Calculation G"	SPC_MOD				40		
CLCH			GUI_COMMON	"Calculation H"	SPC_MOD				40		
CLCI			GUI_COMMON	"Calculation I"	SPC_MOD				40		
CLCJ			GUI_COMMON	"Calculation J"	SPC_MOD				40		
CLCK			GUI_COMMON	"Calculation K"	SPC_MOD				40		
CLCL			GUI_COMMON	"Calculation L"	SPC_MOD				40		
CLCM			GUI_COMMON	"Calculation M"	SPC_MOD				40		
CLCN			GUI_COMMON	"Calculation N"	SPC_MOD				40		
CLCO			GUI_COMMON	"Calculation O"	SPC_MOD				40		
CLCP			GUI_COMMON	"Calculation P"	SPC_MOD				40		
CLV				"CALC Invalid"			1				
CMTA			GUI_COMMON	"Comment A"					39		
CMTB			GUI_COMMON	"Comment B"					39		
CMTC			GUI_COMMON	"Comment C"					39		
CMTD			GUI_COMMON	"Comment D"					39		
CMTE			GUI_COMMON	"Comment E"					39		
CMTF			GUI_COMMON	"Comment F"					39		
CMTG			GUI_COMMON	"Comment G"					39		
CMTH			GUI_COMMON	"Comment H"					39		
CMTI			GUI_COMMON	"Comment I"					39		
CMTJ			GUI_COMMON	"Comment J"					39		
CMTK			GUI_COMMON	"Comment K"					39		
CMTL			GUI_COMMON	"Comment L"					39		
CMTM			GUI_COMMON	"Comment M"					39		
CMTN			GUI_COMMON	"Comment N"					39		
CMTO			GUI_COMMON	"Comment O"					39		
CMTP			GUI_COMMON	"Comment P"					39		
CMV				"CALC Invalid"			1				
CNV				"CALC Invalid"			1				
COPT		"Conditional"	GUI_COMMON	"Calc option"			1				transformCOPT
COV				"CALC Invalid"			1				
CPV				"CALC Invalid"			1				
D			GUI_COMMON	"Value of D"	SPC_MOD	TRUE					
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
E			GUI_COMMON	"Value of E"	SPC_MOD	TRUE					
EGU			GUI_COMMON	"Units Name"			1		16		
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F			GUI_COMMON	"Value of F"	SPC_MOD	TRUE					
FLNK			GUI_LINKS	"Forward Process Link"			1				
G			GUI_COMMON	"Value of G"	SPC_MOD	TRUE					
H			GUI_COMMON	"Value of H"	SPC_MOD	TRUE					
I			GUI_COMMON	"Value of I"	SPC_MOD	TRUE					
IAV		"1"		"Input link valid"	SPC_NOMOD		1				transformIAV
IBV		"1"		"Input link valid"	SPC_NOMOD		1				transformIAV
ICV		"1"		"Input link valid"	SPC_NOMOD		1				transformIAV
IDV		"1"		"Input link valid"	SPC_NOMOD		1				transformIAV
IEV		"1"		"Input link valid"	SPC_NOMOD		1				transformIAV
IFV		"1"		"Input link valid"	SPC_NOMOD		1				transformIAV
