field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADDR			GUI_DISPLAY	"VME address (hex)"			1	HEX			
AINC		"2"	GUI_DISPLAY	"Address increment (1-4)"			1				
AMOD			GUI_COMMON	"VME address mode"			1				vmeAMOD
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BPTR				"Buffer Pointer"	SPC_NOMOD		4		4	"void *bptr"	
DESC			GUI_COMMON	"Descriptor"					41		
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DSIZ		"1"	GUI_COMMON	"VME data size"			1				vmeDSIZ
DTYP			GUI_LINKS	"Device Type"			1				
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
LCNT				"Lock Count"	SPC_NOMOD		2				
LSET				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MLIS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
NAME				"Record Name"	SPC_NOMOD				61		
NMAX		"32"	GUI_DISPLAY	"Max. number of values"			1				
NSEV				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
NUSE		"1"	GUI_DISPLAY	"Number of values to R/W"			1				
PACT				"Record active"	SPC_NOMOD		1				
PHAS			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PRIO			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC				"Force Processing"		TRUE	3				
PUTF				"dbPutField process"	SPC_NOMOD		1				
RDES				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RDWT			GUI_COMMON	"Read/write"			1				vmeRDWT
RPRO				"Reprocess "	SPC_NOMOD		1				
RSET				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
SARR	ASL0			"Status array"	SPC_DBADDR	TRUE					
SCAN			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDIS			GUI_SCAN	"Scanning Disable"			1				
SEVR		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SPTR				"Status Pointer"	SPC_NOMOD		4		4	"void *sptr"	
SPVT				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
TIME				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO				"Trace Processing"							
TSE			GUI_SCAN	"Time Stamp Event"			1				
TSEL			GUI_SCAN	"Time Stamp Link"			1				
UDF		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	ASL0			"Current value"	SPC_DBADDR	TRUE					
