field	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT				"Break Point"	SPC_NOMOD		1			"char bkpt"	
CGAP				"Convectron-A Pressure"	SPC_NOMOD						
CGBP				"Convectron-B Pressure"	SPC_NOMOD						
CHGC				"Changed Control"	SPC_NOMOD						
DESC			GUI_COMMON	"Descriptor"					41		
DGSR				"Degas Read"	SPC_NOMOD						vsOFFON
DGSS			GUI_BITS1	"Degas Set"	SPC_MOD	TRUE	1				vsOFFON
DISA				"Disable"							
DISP				"Disable putField"							
DISS			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV		"1"	GUI_SCAN	"Disable Value"							
DPVT				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP			GUI_LINKS	"Device Type"			1				
ERR		"5"		"Controller Err Cnt"	SPC_MOD		1				
EVNT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK			GUI_LINKS	"Forward Process Link"			1				
FLTR				"Fault Read"	SPC_NOMOD						vsOFFON
HALR		"3"	GUI_PULSE	"CGA Log10 High Display"			1				
HAPR		"1000"	GUI_OUTPUT	"CGA Pres High Display"			1				
HBLR		"3"	GUI_SUB	"CGB Log10 High Display"			1				
HBPR		"1000"	GUI_SEQ2	"CGB Pres High Display"			1				
HHSV			GUI_DISPLAY	"IG Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH		"1e-07"	GUI_DISPLAY	"IG High Alarm"		TRUE	1				
HIHI		"1e-06"	GUI_DISPLAY	"IG Hihi Alarm"		TRUE	1				
